aah	a cry of delight
stag	a male deer
stagecoach	a horse-drawn passenger carriage
stagecraft	skill in staging a performance
staged	arranged or set up beforehand
stagflation	slow growth with rising prices
stagger	to walk unsteadily
staggering	astonishing
staggeringly	astonishingly
staggers	a disease causing unsteady movement
staging	setting up a performance
stagnant	not moving or developing
stagnate	to stop developing or moving
stagnation	lack of growth
staid	serious and unadventurous
stain	a discolored mark
stained	marked with a discoloring spot
staining	leaving a discolored mark
stainless	unable to rust or stain
stair	one step of a staircase
staircase	a set of stairs
stairs	a set of steps
stairway	a set of stairs
stairwell	the shaft containing a staircase
stake	a ground-driven pointed post
stakeholder	one with an interest
stakeout	secret surveillance of a place
stakes	something risked in a venture
stale	no longer fresh
stalemate	a no-progress situation
stalk	the stem of a plant
stalked	followed secretly and persistently
stalker	someone who follows another obsessively
stalking	following someone obsessively
stall	a small selling booth
stalling	delaying on purpose
stallion	an adult male horse
stalls	small booths for selling goods
stalwart	loyal and dependable
stamen	a flower's male part
stamina	the ability to sustain effort
stammer	to speak with hesitant sounds
stamp	a small adhesive postage label
stampede	a sudden headlong rush
stamper	a mark-pressing tool
stance	a standing way or viewpoint
standardisation	making things follow one rule
standardise	to make uniform
standardised	made uniform
standardization	making things follow one rule
standardize	to make uniform
standardized	made uniform
standby	ready for use if needed
stander	one who stands
standoff	a tense deadlock between opponents
standoffish	unfriendly and distant
standpoint	a particular point of view
standstill	a complete stop
stanhope	a light open horse carriage
stank	gave off a bad smell
stanza	a poem's group of lines
staph	a type of bacteria
staphylococcus	an infection-causing bacteria
staple	basic and commonly used
stapler	a paper-fastening device
starboard	a ship's right side
starch	a carbohydrate found in foods
starches	foods high in carbohydrates
starchy	full of starch
stardom	the state of being famous
stardust	a magical, dreamlike quality
stare	a long fixed look
starfighter	a fictional combat spacecraft
starfish	a star-shaped sea creature
stargazer	someone who watches the stars
stargazing	watching the stars
staring	looking fixedly
stark	harsh and unpleasantly clear
starkly	in a harsh, obvious way
starlet	a young rising actress
starlight	light from the stars
starling	a small dark speckled bird
starred	featured as a lead performer
starring	playing a leading role
starry	full of stars
starship	a large fictional spacecraft
starter	a meal's first course
startle	a sudden shock of surprise
startled	suddenly surprised
startling	very surprising
startlingly	surprisingly
startup	a newly founded business
starvation	suffering from lack of food
starve	to suffer lacking food
starved	suffering from severe hunger
starving	extremely hungry
stash	a hidden supply of something
stasis	a state of no change
statecraft	skill in running government
stateless	having no nationality or government
stately	dignified and grand
stater	an ancient coin
stateroom	a ship's private cabin
statesman	an experienced respected political leader
statesmanship	skilled leadership in politics
statewide	across an entire state
static	not moving or changing
statics	study of resting forces
statin	a drug that lowers cholesterol
stationary	not moving
stationery	paper and writing supplies
statistic	a piece of numerical data
statistical	relating to numerical data
statistically	in terms of numerical data
statistician	an expert in numerical data
stator	a motor's stationary part
statuary	relating to statues
statue	a carved or molded figure
statuesque	tall and graceful
statuette	a small statue
stature	a person's importance or reputation
statute	established by law
statutorily	as required by law
statutory	required or permitted by law
staunch	firmly loyal
staunchly	firmly and loyally
stave	a barrel-forming strip
stays	a corset's supporting strips
stead	another's place or role
steadfast	firm and unwavering
steadfastly	firmly and unwaveringly
steadfastness	firm and unwavering loyalty
steadied	made stable
steadily	in a steady, consistent way
steadiness	the quality of being stable
steadying	making stable
steak	a thick slice of meat
steakhouse	a restaurant serving grilled meat
stealer	one who steals
stealing	taking something without permission
stealth	quiet, secretive movement
stealthily	quietly and secretly
stealthy	quiet and secretive
steamboat	a boat powered by steam
steamed	cooked using steam
steamer	a steam-cooking pot
steaming	giving off hot vapor
steampunk	old-fashioned machine-themed fantasy style
steamroller	a road-flattening machine
steamship	a ship powered by steam
steamy	full of steam or vapor
steed	a horse for riding
steelworks	a factory that makes steel
steely	hard and unyielding
steep	rising or falling sharply
steeper	a container for soaking something
steeple	a tall church tower
steeplechase	a jumping obstacle race
steeply	at a sharp angle
steepness	how sharp a slope is
steer	a young male cattle
steerable	able to be guided
steerage	the cheapest ship passenger area
steering	controlling a vehicle's direction
stegosaurus	a spiked, plated dinosaur
stein	a large beer mug
stela	an inscribed stone slab
stele	an inscribed stone pillar
stellar	relating to stars
stellate	shaped like a star
stemmed	having a stem
stench	a strong bad smell
stencil	a cutout pattern for painting
stenographer	someone who writes in shorthand
stenosis	narrowing of a body passage
stent	a vessel-opening tube
stepbrother	a stepparent's son
stepchild	a spouse's child from before
stepdaughter	a spouse's daughter from before
stepfather	a mother's non-birth husband
stepladder	a folding set of steps
stepmother	a father's non-birth wife
steppe	a vast grassy plain
stepper	a step-moving device
stepsister	a stepparent's daughter
stepson	a spouse's son from before
stepwise	done one step at a time
stereo	using two sound channels
stereoscopic	giving a 3d viewing effect
stereotype	an oversimplified group idea
stereotyped	shown in an oversimplified way
stereotypical	typical in an oversimplified way
stereotypically	in an oversimplified, typical way
sterile	free of germs
sterilisation	the process of removing germs
sterilised	made free of germs
sterility	infertile or germ-free state
sterilization	the process of removing germs
sterilize	to make free of germs
sterilized	made completely germ-free
sterling	of excellent quality
stern	strict and serious
sternal	relating to the breastbone
sternly	in a strict, serious way
sternum	the breastbone
steroid	a hormone-like body chemical
steroidal	relating to steroids
sterol	a fatty body compound
stethoscope	a doctor's listening instrument
stevia	a natural plant sweetener
stew	a slow-cooked meat mix
steward	a passenger-serving manager
stewardess	a female flight attendant
stewardship	responsible care of something
stewed	cooked slowly in liquid
stewing	slow cooking in liquid
sticker	a small adhesive label
stickiness	the quality of sticking
sticking	remaining attached
stickler	one who insists on rules
sticky	tending to stick to things
stiff	not easily bent
stiffen	to become rigid
stiffening	the process of becoming rigid
stiffly	in a rigid, unbending way
stiffness	the quality of being rigid
stifle	an animal's hind-leg joint
stifled	held back or suppressed
stifling	uncomfortably hot or restrictive
stigma	a mark of shame
stigmata	marks resembling wounds
stigmatization	unfair public shaming
stigmatize	to unfairly label with shame
stile	steps over a fence
stiletto	a thin, high-heeled shoe
stillbirth	birth of a dead baby
stillborn	born dead
stillness	complete quiet and calm
stilt	a raised-walking pole
stilted	awkward and unnatural
stimulant	arousing energy or activity
stimulate	to encourage activity or growth
stimulated	made more active or excited
stimulating	exciting interest or energy
stimulation	the act of arousing activity
stimulus	something that causes a reaction
sting	a sharp, piercing pain
stinger	a venom-injecting organ
stinging	causing a sharp pain
stingray	a venomous-tailed flat fish
stingy	unwilling to spend or give
stink	a very bad smell
stinker	something or someone very unpleasant
stinking	having a very bad smell
stinky	having an unpleasant smell
stint	a period of doing something
stipe	a mushroom's stalk
stipend	a regular fixed payment
stipulate	to demand in an agreement
stipulation	a specific condition demanded
stir	a slight movement or disturbance
stirred	mixed by moving in circles
stirrer	a tool for mixing liquids
stirring	deeply moving or exciting
stirrup	a saddle's foot support
stitch	a thread loop in sewing
stitched	sewn together
stitcher	someone or something that sews
stitching	the sewing of stitches
stoat	a small weasel-like animal
stochastic	based on random chance
stockade	a fence of upright posts
stockbroker	a stock-trading agent
stocked	supplied with goods
stocker	someone who fills store shelves
stockholder	an owner of company shares
stocking	a close-fitting leg covering
stockman	a worker who tends livestock
stockpile	a large stored supply
stockpiling	building up a large supply
stockroom	a room for storing goods
stocks	company ownership shares
stocky	short and solidly built
stodgy	dull and old-fashioned
stoic	calm and unemotional under hardship
stoically	calmly, without complaint
stoichiometric	relating to exact chemical proportions
stoichiometry	study of reaction proportions
stoicism	calm endurance of hardship
stoke	to feed and build a fire
stoker	someone who tends a furnace
stole	a woman's long scarf
stolid	calm and showing little emotion
stoma	a leaf's tiny pore
stomachache	pain in the stomach
stomatal	relating to leaf pores
stomp	a heavy, forceful step
stomper	someone who stomps
stoned	intoxicated by drugs
stonemason	someone who builds with stone
stoner	someone who frequently uses drugs
stonewall	to block cooperation
stonewalling	refusing to cooperate or answer
stoneware	pottery made from dense clay
stonework	construction made of stone
stoning	throwing stones as punishment
stony	made of or covered with stone
stooge	one used for dirty work
stool	a seat without a back
stoop	a small porch or steps
stooped	bent forward
stooping	bending the body forward
stopgap	a temporary solution
stoplight	a traffic signal light
stopover	a brief journey stay
stoppage	a temporary halt
stopper	an opening-closing plug
stopping	coming to a halt
stopwatch	a clock for timing events
storefront	the front of a shop
storehouse	a building for storing goods
storekeeper	someone who runs a shop
storeroom	a room for storing things
storey	one level of a building
storied	celebrated in stories
stork	a large long-legged wading bird
stormy	marked by wind and rain
storybook	a children's story book
storyline	the plot of a story
storyteller	someone who tells stories
stout	solidly built and strong
stove	a cooking appliance
stovepipe	a stove's venting pipe
stover	dried stalks used as feed
stow	to pack away for storage
stowage	space for storing goods
stowaway	someone hiding to travel free
stowing	the act of packing away
strabismus	a condition of misaligned eyes
straddle	to stand legs astride
strafe	to attack with low gunfire
straggling	spread out disorderly
straightaway	happening immediately
straighten	to make or become straight
straightener	a straightening tool
straightforward	simple and easy to understand
straightforwardly	in a simple, clear way
strain	physical or mental stress
strained	tense or under stress
strainer	a liquid-separating tool
straining	putting under stress or effort
strait	narrow or difficult
straitjacket	an arm-restraining garment
straits	a narrow passage of water
strand	a single thin fiber
stranded	left unable to move on
strangely	in an odd way
strangeness	the quality of being odd
stranger	a person one doesn't know
strangle	to kill by choking
strangled	choked so breathing stops
stranglehold	a tight, controlling grip
strangler	one who chokes to death
strangles	a horse throat infection
strangling	choking someone to death
strangulation	death or injury by choking
strap	a narrow band for fastening
strapless	without shoulder straps
strapping	tall, strong, and healthy-looking
stratagem	a clever plan to deceive
strategical	relating to careful planning
strategically	according to a careful plan
strategist	someone skilled at planning
stratification	arrangement into layers
stratified	arranged into distinct layers
stratigraphy	the study of rock layers
stratosphere	a high atmosphere layer
stratum	a distinct layer
stratus	a flat, low-lying cloud layer
straw	made of dried plant stalks
strawberry	a small red juicy fruit
strawman	a weak easily-beaten argument
stray	wandering away from home
strayer	one who wanders off
straying	wandering off course
streak	a long thin mark
streaked	marked with long thin lines
streaker	one who runs naked publicly
streaky	marked with streaks
streamer	a long paper ribbon strip
streaming	flowing continuously
streamline	to make more efficient
streamlined	made simpler and more efficient
streetcar	a city rail passenger vehicle
streetlight	a street lamp post
streetwise	skilled at city survival
strengthen	to make stronger
strengthened	made stronger
strengthening	making something stronger
strenuous	requiring great effort
strenuously	with great effort
strep	relating to a throat infection
streptococcal	relating to strep bacteria
streptococcus	a type of infection-causing bacteria
streptomyces	a type of soil bacteria
streptomycin	an antibiotic drug
stressed	feeling worried or under pressure
stressful	causing worry or pressure
stressor	something that causes stress
stretched	pulled longer or wider
stretcher	an injured-carrying frame
stretching	extending or pulling out
stretchy	able to stretch easily
striatum	a part of the brain
stricken	badly affected by something harmful
strict	demanding exact obedience
strictly	in an exact, rule-following way
strictness	the quality of being strict
stricture	a body passage narrowing
stride	a long, confident step
strident	loud and harsh
stridently	in a loud, harsh way
strider	one who walks long steps
strife	bitter conflict
strikeout	a batter's failed at-bat
striker	a soccer-scoring player
striking	very noticeable or impressive
strikingly	in a very noticeable way
stringent	very strict and demanding
stringently	in a very strict way
stringer	a supporting beam
strings	conditions attached to an offer
stringy	tough and fibrous
stripe	a narrow band of color
striped	marked with stripes
stripes	narrow bands of color
striping	marking with stripes
stripling	a young immature boy
stripped	had covering removed
stripper	an undressing performer
stripping	removing an outer layer
striptease	a slow undressing performance
stripy	marked with stripes
strive	to try very hard
striving	making a great effort
strobe	a rapidly flashing light
stroke	sudden lost brain blood flow
stroking	gently rubbing with the hand
stroll	a slow, relaxed walk
stroller	a wheeled baby chair
stroma	an organ's supporting tissue
stronghold	a well-defended place
strongman	a very physically powerful person
strontium	a soft metallic chemical element
strop	a strip for sharpening razors
structural	relating to a framework
structuralism	a theory analyzing underlying patterns
structurally	in terms of basic framework
structured	organized in a clear way
strudel	a rolled fruit-filled pastry
strum	to play strings lightly
strung	tightly stretched or tense
strut	to walk stiffly and proudly
strychnine	a poisonous plant substance
stub	a short remaining piece
stubble	short growth of unshaved hair
stubborn	refusing to change one's mind
stubbornly	in a refusing, unyielding way
stubbornness	unwillingness to change one's mind
stubby	short and thick
stucco	a plaster coating for walls
stud	a small metal fastener
studded	decorated with small raised pieces
studentship	a scholarship for a student
studious	devoted to careful study
studiously	with careful, deliberate attention
stuffed	filled tightly with something
stuffer	someone or something that fills
stuffing	a filling inside food or objects
stuffy	poorly ventilated and warm
stumble	an unsteady, near-falling step
stump	a tree's leftover base
stumping	campaigning in different places
stumpy	short and stubby
stun	to shock or daze suddenly
stung	pierced by a stinger
stunned	shocked into silence
stunner	someone or something remarkably impressive
stunning	extremely impressive or beautiful
stunningly	in an extremely impressive way
stunt	a dangerous or daring feat
stunted	prevented from growing fully
stunting	preventing full growth
stupa	a dome-shaped buddhist shrine
stupefied	shocked into confusion
stupefying	causing shock or confusion
stupendous	amazingly large or impressive
stupidity	lack of good sense
stupidly	in a foolish way
stupor	a dazed, unaware state
sturdy	strong and solidly built
sturgeon	a large fish species
stutter	to speak with repeated pauses
sty	a pen for keeping pigs
styler	a tool for shaping hair
styling	the act of arranging appearance
stylised	simplified in artistic style
stylish	fashionable and elegant
stylishly	in a fashionable way
stylist	a hair or fashion arranger
stylistic	relating to artistic manner
stylistically	in terms of artistic style
stylized	simplified in artistic form
stylus	a pen-like pointer for touchscreens
stymie	to block or prevent progress
styrene	a plastic-making chemical
suave	smoothly charming and confident
subacute	somewhat less severe than acute
subalpine	found just below high mountains
subaltern	of lower rank or status
subarctic	near the arctic
subatomic	smaller than an atom
subbing	temporarily filling in for someone
subclass	a smaller group within a class
subclavian	located below the collarbone
subclinical	too mild to diagnose
subcommittee	a smaller committee group
subcompact	a very small car
subconscious	below mental awareness
subconsciously	without conscious awareness
subcontinent	a large landmass region
subcontract	a contract for part of a job
subcontractor	a hired partial-job company
subcortical	beneath the brain's outer layer
subculture	a smaller cultural group
subcutaneous	just beneath the skin
subcutaneously	just beneath the skin
subdivide	to split into smaller parts
subdivision	a smaller part of something
subduction	one plate sliding under another
subdue	to overcome and control
subdued	quiet and restrained
subdural	beneath the brain's outer covering
subfamily	a smaller family group
subgenus	a division within a genus
subgroup	a smaller group within a group
subhuman	less than fully human
subjection	being forced under control
subjective	based on personal feelings
subjectively	based on personal opinion
subjectivity	personal opinion or bias
subjugate	to conquer and control
subjugated	conquered and controlled
subjugation	forceful conquest and control
subjunctive	expressing a wish or possibility
sublease	renting out a rented space
sublet	space rented from a tenant
sublimate	changed solid to gas directly
sublimated	redirected into a better outlet
sublimation	turning into a nobler form
sublime	wonderful and awe inspiring
sublimely	in a wonderfully impressive way
subliminal	below conscious awareness
sublingual	under the tongue
subluxation	a partial joint dislocation
submarine	underwater
submariner	a submarine crew member
submerge	to sink completely underwater
submerged	completely underwater
submergence	the act of sinking underwater
submerging	the act of going underwater
submersible	able to operate underwater
submersion	being placed completely underwater
submission	the act of giving in
submissive	willing to obey others
submit	to hand in or yield
submitter	someone who sends something in
suborbital	not quite reaching full orbit
suborder	a division within an order
subordinate	lower in rank
subordination	being ranked lower
subpart	a smaller section of something
subpoena	a court appearance order
subpopulation	a smaller population group
subroutine	a small program section
subscribe	to sign up regularly
subscribed	signed up for regularly
subscriber	someone who signs up regularly
subscript	written slightly below the line
subscription	a regular paid service
subsection	a smaller section part
subsequently	afterward
subservience	excessive obedience to others
subservient	overly obedient and submissive
subset	a smaller part of a group
subside	to become less intense
subsidence	a gradual sinking of ground
subsidiarity	handling things locally
subsidiary	secondary and dependent
subsiding	becoming less intense
subsidise	to help pay for something
subsidised	helped financially by another
subsidize	to help pay for something
subsidized	helped financially by another
subsidy	money given to support something
subsist	to survive on very little
subsistence	the minimum needed to survive
subsoil	earth beneath topsoil
subsonic	slower than sound
subspace	a smaller space within one
subspecies	a division within a species
substance	physical material or matter
substandard	below the usual quality
substantially	to a large degree
substantiate	to prove with evidence
substantiation	proof supporting a claim
substantive	real and important
substation	a smaller electrical power station
substitute	used in place of another
substituting	swapping one thing for another
substitution	replacing one thing with another
substrate	an underlying base layer
substratum	an underlying layer or basis
substructure	a supporting structure underneath
subsurface	beneath the surface
subsystem	a smaller system part
subterfuge	deception to achieve a goal
subterranean	underground
subtitle	text below the title
subtle	hard to notice or detect
subtlety	a small and delicate detail
subtly	in a hard-to-notice way
subtotal	a partial sum
subtract	to take away a number
subtraction	taking one number from another
subtractive	working by removing parts
subtropical	near the tropical climate zone
subunit	a smaller unit part
suburb	a residential area outside a city
suburban	relating to a residential area
suburbia	suburban areas as a whole
subversion	an attempt to undermine something
subversive	intended to undermine authority
subvert	to secretly undermine something
subway	an underground train system
subwoofer	a deep-bass speaker
succeed	to achieve a desired result
succeeding	coming after in order
succession	things following each other
successive	following one after another
successively	one after another in order
successor	someone who takes over a role
succinct	short and clearly expressed
succinctly	briefly and clearly
succor	help in distress
succour	help in distress
succubus	a demon in female form
succulent	juicy and delicious
succumb	to give in to something
suchlike	similar things of that kind
sucker	someone easily fooled
sucking	drawing liquid into the mouth
suckle	to feed milk to a baby
suckling	a milk-fed young animal
sucre	a former currency of ecuador
sucrose	table sugar
suction	a pulling force
suddenness	the quality of happening unexpectedly
sudoku	a number placement puzzle
suds	soapy bubbles
sue	to take legal action against
suede	napped soft leather
suet	hard fat used in cooking
sufferer	someone who experiences pain or illness
suffice	to be enough
sufficiency	having just enough of something
sufficiently	to an adequate degree
suffix	letters added to a word's end
suffocate	to be unable to breathe
suffocating	causing difficulty breathing
suffocation	dying from lack of air
suffrage	the right to vote
suffragette	a voting-rights campaigner
sugarcane	a sugar-producing plant
sugarcoat	to make seem more pleasant
sugared	sweetened with sugar
sugarloaf	a cone-shaped sugar mass
sugary	tasting sweet like sugar
suggestion	an idea offered for consideration
suggestive	hinting at something
suggestively	in a hinting way
suicidal	having thoughts of self-harm
suitability	being right for a purpose
suitably	in an appropriate way
suitcase	a case for carrying clothes
suite	a set of connected rooms
suited	well matched for a purpose
suiting	fabric used for suits
suitor	a man courting a woman
sulcus	a groove in the brain
sulfate	a chemical compound of sulfur
sulfide	a chemical compound of sulfur
sulfonate	a type of sulfur compound
sulfur	a yellow chemical element
sulfuric	containing sulfur
sulk	a silent bad mood
sulky	silently bad tempered
sulla	a leguminous fodder plant
sullen	silent and bad tempered
sully	to spoil the purity of
sulphate	a chemical compound of sulfur
sulphide	a chemical compound of sulfur
sulphur	a yellow chemical element
sulphuric	containing sulfur
sulphurous	relating to sulfur
sultan	a muslim ruler
sultana	a small seedless raisin
sultanate	a sultan-ruled country
sultry	hot and humid
sumac	a sour-berried shrub
summarily	quickly and without formality
summarise	to give a brief account
summarization	giving a brief account
summarize	to give a brief account
summation	a final total or summary
summative	assessing overall achievement
summerhouse	a small garden shelter
summertime	the season of summer
summery	typical of summer
summon	to call someone to come
summoning	calling someone to appear
summons	an official order to appear
sumo	a japanese wrestling sport
sump	a liquid-collecting low area
sumpter	a pack animal
sumptuous	rich and luxurious
sumptuously	lavishly and luxuriously
sunbae	a senior colleague or classmate
sunbathe	to lie tanning in the sun
sunbeam	a ray of sunlight
sunblock	sun-protective skin cream
sunburn	sun-damaged skin
sunburned	reddened from too much sun
sunburnt	reddened from too much sun
sunburst	a sudden burst of sunlight
sundae	an ice cream dessert
sunder	to split apart
sundial	a shadow-based time device
sundown	when the sun sets
sundress	a light summer dress
sundries	various small items
sundry	various and miscellaneous
sunfish	a large ocean fish
sunflower	a tall yellow-flowered plant
sunglass	a sun-shielding lens
sunglasses	sun-shielding eyewear
sunk	fallen below the surface
sunken	fallen below the surrounding level
sunless	without sunlight
sunlight	light from the sun
sunlit	lit up by sunlight
sunny	full of bright sunlight
sunray	a beam of sunlight
sunrise	relating to sun coming up
sunroof	a car's movable roof panel
sunroom	a mostly-glass enclosed room
sunscreen	sun-protective lotion
sunset	relating to sun going down
sunshine	bright light from the sun
sunspot	a dark patch on the sun
sunstone	a shimmering orange mineral
sunstroke	illness from too much sun
suntan	skin darkened by the sun
sup	a small drink sip
superannuation	a retirement pension fund
superb	extremely good
superbly	extremely well
superbug	a germ resistant to medicine
supercharge	to boost something's power
supercharged	given extra power or energy
supercharger	an engine-boosting device
supercomputer	an extremely powerful computer
superconductivity	perfect electrical conduction
supercritical	beyond a critical point
superego	the mind's moral part
superfamily	a large related group
superficial	only on the surface
superficiality	shallowness and lack of depth
superficially	only on the surface
superfine	extremely fine in quality
superfluous	more than what is needed
superfood	a food considered very nutritious
supergrass	an informant against criminals
superhero	a person with amazing powers
superhighway	a wide fast road
superhuman	beyond normal human ability
superimpose	to place over another image
superimposed	placed over something else
superintendent	an operation manager
superiority	being better than others
superlative	of the highest degree
superman	a man with extraordinary abilities
supermarket	a large food store
supermodel	a very famous fashion model
supernatant	floating above sediment
supernatural	beyond the laws of nature
supernaturally	beyond natural laws
supernova	an exploding star
supernumerary	extra and not strictly needed
superoxide	a reactive oxygen molecule
superposition	the overlapping of two states
superpower	a very powerful nation
superscript	written slightly above the line
supersede	to replace and outrank
supersonic	faster than sound
superstar	a very famous performer
superstition	an unfounded belief
superstitious	believing unproven omens
superstructure	the part built above base
supersymmetry	a particle balance theory
supervillain	a powerful evil character
supervise	to oversee and direct
supervised	watched over and directed
supervising	overseeing and directing
supervision	overseeing and direction
supervisor	someone who oversees others' work
supervisory	relating to overseeing others
supine	lying flat on the back
supper	an evening meal
supplant	to take the place of
supplanting	replacing something else
supple	bending easily
supplement	an added completing thing
supplemental	added to complete something
supplementary	added to complete something
supplementation	adding something extra
supplication	a humble request or prayer
supplier	a business that provides goods
supplying	providing something needed
supporter	someone who backs a cause
supportive	giving encouragement and help
supposedly	as claimed, maybe untrue
supposition	an assumption without proof
suppository	medicine inserted into the body
suppress	to hold back or stop
suppressant	something reducing a symptom
suppressed	held back or stopped
suppression	holding something back
suppressive	tending to hold something back
suppressor	something that reduces or stops
supra	mentioned earlier in a text
supranational	beyond a single nation's authority
supremacist	one claiming group superiority
supremacy	being the greatest in power
supremely	to the highest degree
supremo	the person in overall charge
sura	a chapter of the quran
surcharge	an extra fee added
surety	a guarantee or promise
surf	waves breaking on the shore
surfacing	rising to the top
surfactant	a tension-reducing substance
surfboard	a board for riding waves
surfeit	an excessive amount of something
surfer	someone who rides ocean waves
surfing	riding waves on a board
surge	a sudden powerful increase
surgeon	a doctor who performs operations
surgical	relating to medical operations
surgically	through a medical operation
surging	increasing suddenly and strongly
surly	rude and unfriendly
surmise	a guess with little evidence
surmount	to overcome a difficulty
surmounted	overcome or gotten past
surname	a family name
surpass	to do better than
surpassing	going beyond in excellence
surplus	more than what is needed
surprising	unexpected and startling
surprisingly	in an unexpected way
surreal	strange like a dream
surrealism	a dreamlike art style
surrealist	a dreamlike-imagery artist
surrealistic	strange and dreamlike
surrender	the act of giving up
surreptitious	done secretly
surreptitiously	done secretly
surrey	a light horse drawn carriage
surrogate	acting as a substitute
surround	the area around something
surroundings	the area around a place
surveil	to watch closely and secretly
surveillance	close watching of someone
surveying	measuring and mapping land
surveyor	someone who measures land
survivalist	someone who prepares for disasters
surviving	continuing to live through hardship
survivor	someone who lives through hardship
susceptibility	being likely to be affected
susceptible	likely to be affected
sushi	a japanese vinegared-rice dish
suspected	believed true or guilty
suspend	to stop something temporarily
suspender	a strap holding up clothing
suspense	nervous uncertainty about what happens
suspenseful	full of tense uncertainty
suspension	a temporary stopping of something
suspicion	a feeling something's wrong
suspicious	feeling something is wrong
suspiciously	in a doubt-raising way
sustain	to keep something going
sustainability	ability to keep going
sustainable	able to continue without harm
sustained	kept going over time
sustainer	something that keeps another going
sustainment	keeping something going
sustenance	food needed to stay alive
sutra	a hindu or buddhist text
suture	a wound-closing stitch
suturing	stitching a wound closed
suzerainty	control over another state's affairs
svelte	slim and graceful
svoboda	a word meaning freedom
swab	a cleaning or testing material
swabbing	cleaning with absorbent material
swaddle	to wrap a baby snugly
swag	stolen goods or free items
swagger	confident and arrogant in manner
swaggering	walking with confident arrogance
swain	a young male lover
swale	a low wet stretch of land
swallow	a small fast flying bird
swallowtail	a tail-winged butterfly
swami	a hindu religious teacher
swamp	wet spongy ground
swampland	wet marshy land
swampy	wet and marshy
swan	a large white water bird
swank	stylishly impressive
swanky	fancy and expensive looking
swap	an exchange of things
swarm	a large moving group
swart	dark skinned
swarthy	having a dark complexion
swash	a splashing sound of water
swashbuckler	a bold daring adventurer
swashbuckling	daring and adventurous
swastika	an ancient hooked cross symbol
swat	a quick hard hit
swatch	a small sample piece
swath	a wide strip of land
swathe	a wrapped strip of cloth
sway	influence or control over something
swearing	using rude offensive words
sweat	moisture that comes from skin
sweater	a warm knitted garment
sweating	giving off body moisture
sweatpants	loose soft comfortable trousers
sweats	loose soft comfortable clothing
sweatshirt	a warm loose pullover top
sweatshop	a factory with harsh conditions
swede	a root vegetable
sweep	a broad cleaning motion
sweeper	something that cleans by sweeping
sweeping	affecting almost everything
sweepstakes	a prize-drawing contest
sweeten	to make something taste sweeter
sweetened	made to taste sweeter
sweetener	a substance that adds sweetness
sweetening	making something taste sweeter
sweetheart	dear and beloved
sweetie	a term of affection
sweetly	in a pleasant kind way
sweetness	the quality of tasting sweet
swell	very good or excellent
swelled	puffed up or enlarged
swelling	a puffy enlarged area
sweltering	uncomfortably hot
swept	cleaned or moved by sweeping
swerve	a sudden turning movement
swerving	turning suddenly to avoid something
swift	very fast
swiftly	very quickly
swiftness	the quality of being fast
swig	a big drink gulp
swill	watery animal feed or slop
swilling	drinking large careless gulps
swim	a session of swimming
swimmer	a person who swims
swimmingly	going very smoothly
swimsuit	clothing worn for swimming
swimwear	clothing worn for swimming
swindle	a dishonest scheme to cheat
swindler	a person who cheats others
swine	a pig
swinger	a person who swings something
swinging	lively and full of energy
swipe	a quick sweeping stroke
swirl	a twisting circular movement
swish	stylish and fashionable
switchblade	a spring-bladed knife
switchboard	a panel connecting phone calls
switcher	something that changes or swaps
switcheroo	an unexpected sudden swap
switching	changing from one to another
swivel	a joint that turns freely
swole	very muscular
swollen	puffed up larger than normal
swoon	a fainting spell
swooning	overcome with strong feeling
swoop	a sudden downward attack
swoosh	a rushing whooshing sound
swordfish	a bill-nosed large fish
swordplay	fighting or fencing with swords
swordsman	one skilled with a sword
swordsmanship	skill in using a sword
sworn	bound by a solemn promise
swot	a person who studies hard
sycamore	a large shade tree
sycophant	a person who flatters others
sycophantic	excessively flattering to gain favor
syllabic	relating to syllables
syllable	a unit of spoken sound
syllabus	an outline of a course
syllogism	a logical three part argument
sylva	the trees of a region
sylvan	relating to woods or forests
symbiosis	a close relationship between organisms
symbiotic	mutually beneficial and closely linked
symbolic	representing something else
symbolically	in a representative way
symbolise	to represent something else
symbolising	representing something as a symbol
symbolism	using symbols for ideas
symbolist	an artist using symbols
symbolize	to represent something else
symbolizing	representing something as a symbol
symbology	the study of symbols
symmetric	balanced evenly on both sides
symmetrical	balanced evenly on both sides
symmetrically	in a balanced even way
symmetry	balanced even proportions
sympathetic	showing care for someone's feelings
sympathetically	in a caring understanding way
sympathise	to share another's feelings
sympathiser	one who shares others' views
sympathize	to share another's feelings
sympathizer	one who shares others' views
sympathy	caring feeling for others
symphonic	relating to a full orchestra
symphony	a long piece for orchestra
symposium	a topic-discussion meeting
symptom	a sign of an illness
symptomatic	indicating an underlying problem
synagogue	a Jewish place of worship
synapse	a gap between nerve cells
synaptic	relating to nerve connections
sync	to make things happen together
synchro	a synchronized activity or system
synchronicity	events happening meaningfully together
synchronisation	making things happen together
synchronise	to make things happen together
synchronised	happening at the same time
synchronization	making things happen together
synchronize	to make things happen together
synchronized	happening at the same time
synchronizing	making things happen together
synchronous	happening at the same time
synchronously	at exactly the same time
synchrony	things happening together
synchrotron	a machine that accelerates particles
syncopated	having an off-beat rhythm
syncopation	a shifted musical rhythm
syncope	a brief fainting spell
syncretic	blending different beliefs together
syncretism	the blending of different beliefs
syndicalism	a worker-control labor movement
syndicalist	a supporter of worker-controlled unions
syndicate	a group with shared purpose
syndication	distributing content to many outlets
